pk_numero	data	numero	rubrica_all	note_fuori_rubrica	notizie_fatti_storici	note	note_varie
240	1946-10-17	240	no		Göring suicidato con il cianuro (1)		
241	1946-10-18	241	si	dizione di poesia a Biasca (p3)			
242	1946-10-19	242	no				
243	1946-10-21	243	no				
244	1946-10-22	244	no	dizioni al circolo di cultura (p3)		"""Perché il diritto di voto alle donne ticinesi?"" (p2)"	
245	1946-10-23	245	no	"""I cent'anni di DE AMICIS"" (P1)"			
246	1946-10-24	246	no	trasmissioni musico-letterarie per i docenti (p3)			
247	1946-10-25	247	si	Churchill denuncia lo scrittore americano Louis Adamic (p1); serata dizioni poesie ad Airolo (3); premio Stendhal a Jean Dutourd (p4)			
248	1946-10-26	248	no				
249	1946-10-28	249	no				
250	1946-10-29	250	no	"""Libri per la Germania"" (p2), Memorie di un calzolaio XXII (p2)"			
251	1946-10-30	251	no	"""Nella nosta libreria"" (p3)"	Stalin per l'unità della Germania (p1)		
252	1946-10-31	252	no	Pubblicazioni: almanacco malcantonese (p2); donne nella poesia (p4 sotto immagine)			
253	1946-11-02	253	no	Silvio d'Amico (critico teatrale) nel Ticino (p2)			
254	1946-11-04	254	no	"critica sulla dizione dei ""Sepolcri"" di Lesse Di Luca alla RSI (p2); il giornalista svizzero Jon Kimche nominato redattore della Tribune inglese (p3); omaggio al ""dr"" Varesi (fondatore LS, p3); conferenza ""Pirandello drammaturgo"" a Bellinzona (p3)"	due NO alle votazioni (fra cui suffragio femminile	 p1)	
255	1946-11-05	255	no	lista libri entrati in biblioteca cantonale (p2)	Giornata elettorale USA (p1)		
256	1946-11-06	256	no	"""novità librarie"" (p2)"	"""De Gaulle dichiara guerra alla IV Repubblica"" (p1)"		
257	1946-11-07	257	no	"Pubblicazione ""Lettere inedite"" di Emilio Motta (p2)"			
258	1946-11-08	258	si	esposizione artistica fra cui ticinese Remo Rossi (p4)			
259	1946-11-09	259	no	"Mark Twain in ""cultura e varietà"" (p3)"	Egidio Reale ambasciatore a Berna (p1)		
260	1946-11-11	260	no	morte dell'artista Hans Landorf svizzero (p2); esposizione pittore Alexandre Cingria a Ginevra (p2)	questione triestina	 dialogo Tito-Togliatti (p1)	
261	1946-11-12	261	no				
262	1946-11-13	262	no	case editrici di Lipsia pronte a sgomberare in Russia (p4)	"""Come ha visto la Svizzera Egidio Reale"" (p2)"		
263	1946-11-14	263	no	libri per la Germania (p2); corsi per interpreti dialettali alla RSI (p3)			
264	1946-11-15	264	si	premio nobel a Herman Hesse (p4)			
265	1946-11-16	265	no				
266	1946-11-18	266	no	morte dello scrittore Lucien Daudet (p4)			
267	1946-11-19	267	no	giornalismo e libertà di stampa (inglese?) in Quel che scrivono gli altri (p2); Parigi canta (p3)			
268	1946-11-20	268	no	"libertà e proprietà di stampa in Quel che scrivono gli altri (p2); successi della ""Compagnia drammatica"" a Ligornetto (p3), conferenza sul pittore Salvatore Quattrocchi (p3)"			
269	1946-11-21	269	no	Bibliografia: manuale di geografia economia svizzera (p2); commemorazione Brunelleschi a Locarno e Lugano con confe Papini (p3); Giovanni Galbiati gioioso per mostra d'arte Ambrosiana (p4)			
270	1946-11-22	270	si	orchestra dell'Augusteo di Roma a Lugano (p3)			
271	1946-11-23	271	no				
272	1946-11-25	272	no	orchestra Augusteo (p3)	"""Terrore in Palestina"" (p1)"		
273	1946-11-26	273	no	incisione di dischi (trio di Gandria	 p2)		
274	1946-11-27	274	no	Jacques de Lacretelle a Lugano conferenza (p3)			
275	1946-11-28	275	no	dizioni poesie Giovanni Barrella ai circoli di cultura (p3)			
276	1946-11-29	276	si	furti di quadri Rembrandt a NY (p4)			
277	1946-11-30	277	no	scrittore USA Upton Sinclair sul socialismo (p1); premio Vendemmia a Vitalino Brancati (3)	approvata convenzione fra CH-ONU (per sede a GVA p1)		
278	1946-12-02	278	no	"Aldo Capitini alla Ghilda del Libro (p3), premio letterario ""Fémina"" a Michel Robida (p4)"			
279	1946-12-03	279	no	Giovanni Barrella a Chiasso (p3)	 Conferenza Aldo Capitini (p3)		
280	1946-12-04	280	no	"""L'edizione svizzera si impone all'estero"" (p2); conferenza Capitini (p3), "			
281	1946-12-05	281	no	conferenza De Lacretelle a Lugano (p3)	 conferenza Aldo Capitini (p3)	 morte di E. Favre (p4)	
282	1946-12-06	282	si	Giovanni Rajberti in Quel che scrivono gli altri (p2); Conferenza Capitini (p3)	 concerto quartetto Poltronieri (p3)	 riconoscimento al violoncellista Pablo Casals (p4)	
283	1946-12-07	283	no	concerto Poltronieri al Kursaal (p2)	 Eduard Herriot eletto accademico francese (p3)	votazioni in corso  (diritto del lavoro e revisione x consigli comunali)	
284	1946-12-09	284	no	Roma città aperta (p2)	 concerto Peltronieri (p2)	 Barrella al circolo ticinese di cultura (p3)	
285	1946-12-10	285	no	"poesia ""Gabbiani"" di Carla (p2); sul pittore Mario Ribola (p4)"			
286	1946-12-11	286	no	Ruggero Ruggeri a Lugano (p3)			
287	1946-12-12	287	no	premio Nobel a Hesse (p1); dizione Ruggero Ruggeri pro bimbi italiani (p3)			
288	1946-12-13	288	si	"""Arte libera o arte sociale?"" (di Giuseppe Dessì, p1), 10° dalla morte di Pirandello (p3), mostra di pittura italiana (p3), pubblicazione storica ticinese su restauro monumenti artistici (p3)"			
289	1946-12-14	289	no	serata dizioni Ruggero Ruggeri (p2)	 opere di lingua italiana e fondazione Schiller (distribuzione volumi	 p7)	trattato di pace con IT verrà firmato 10 febbraio (p1)
290	1946-12-16	290	no	lezioni di storia dell'arte (p2)			
291	1946-12-17	291	no	"""tra musica leggera e quella classica la nostra Civica si dibatte"" (p3-4)"			
292	1946-12-18	292	no	libri in vendita alla ghilda del libro (p4)	nuovo governo FR composto solo da socialisti (p1)		
293	1946-12-19	293	no	"""Fiaba"" in Flussi e Riflussi (p2), Fusione di 2 giornali parigini (p4)"			
294	1946-12-20	294	si	"""amicizia con i libri"" (p3)"			
295	1946-12-21	295	no	"p4 Programma del partito 47-51 (fra cui punti su cultura in ""Educazione""), libri in vendita alla Ghilda (7)"	"""i giganti dell'aria"" (aerei p1)"		
296	1946-12-23	296	no	Pubblicazioni Illusté di Natale (p3)	 libri in vendita alla Ghilda (3)	 morta la scrittrice antifascista Flavia Steno (p4)	
297	1946-12-24	297	no	"""Giannini scrittore qualunque"" (lettera da Roma, Gino di Lorenzo p1), ""Avanti"" ha 50 anni (p1); Ricordi di Parigi (sorta di racconto) di Alfredo Talamini (p3), Salvaneschi e Fraccaroli al Liceo di Lugano (p3), Borlenghi al Circolo di cultura (p5), prossima la pubblicazione del rapporto sulla censura in CH durante la guerra (p6)"			
298	1946-12-27	298	no	opere entrate in biblio cantonale (p2)	 libri in vendita alla Ghilda (p3)		
299	1946-12-28	299	no				
300	1946-12-30	300	no	Premio letterario 'Libera Stampa'(1)			
301	1946-12-31	301	no				
